file,truth,mp,brightness,contrast,sharpness,n_box,box_h_med,box_h_max,conf_med,conf_max,n_digit_box,date_box_h,date_box_conf,ok,kind
000834.jpg,2026-02-02,,,,,,,,,,,,,False,미검출-못읽음
002438.jpg,2020-09-13,0.4096,162.0888427734375,48.11954466369456,495.92343535306463,32.0,18.0,41.10960958218893,0.7366031110286713,0.9997971653938293,6.0,29.154759474226502,0.9997971653938293,True,정답
000183.jpg,2027-07-28,12.192768,133.91484700520834,63.85829546236028,491.72552281264217,27.0,29.274562336608895,126.25371281669304,0.9972098469734192,0.9999848008155823,4.0,20.223748416156685,0.999639093875885,True,정답
001094.jpg,2022-01-12,1.192906,116.97620442708333,58.53928407595088,432.07047839608725,6.0,15.5,115.0,0.911273866891861,0.9998564720153809,2.0,18.0,0.8003885746002197,True,정답
000154.jpg,2027-08-13,12.192768,127.93565755208333,69.37278600556847,164.9493155873192,8.0,25.64911064067352,69.06518659932803,0.9707611799240112,0.999891996383667,1.0,,,True,정답
000772.jpg,NONE-12-20,,,,,,,,,,,,,False,미검출-못읽음
003197.jpg,2022-11-05,0.4096,137.8501513671875,76.55152629569017,783.7749668441776,78.0,11.02268050859363,25.0,0.8233295381069183,0.9996281862258911,7.0,,,False,연도만 오독
002027.jpg,2020-11-26,0.568514,157.39746159511785,45.47961289124476,622.95499218281,105.0,11.0,40.01249804748511,0.8966402411460876,0.9999600052833557,4.0,,,False,월/일 오독
002558.jpg,2022-04-01,1.028138,137.00224425887265,53.317327056812736,1541.5764949134784,13.0,17.26267650163207,31.0,0.8567983508110046,0.9999120831489563,2.0,29.0,0.9936732649803162,True,정답
002637.jpg,2022-11-01,1.343352,113.15402018229166,60.88814420934018,4398.471078042942,33.0,14.0,50.635955604688654,0.7795816659927368,0.999858558177948,4.0,17.0,0.982419490814209,True,정답
000053.jpg,2025-12-20,,,,,,,,,,,,,False,미검출-못읽음
002693.jpg,2021-04-19,1.37431,131.66167797494782,63.40984469983059,552.5548951704798,20.0,15.0,36.0,0.9764173030853271,0.9997770190238953,1.0,,,False,미검출-읽긴읽음
003143.jpg,2021-12-11,0.4096,50.21961181640625,33.09842707220392,203.3396061752736,50.0,13.152946437965905,34.713109915419565,0.7574370801448822,0.999932050704956,8.0,20.09975124224178,0.9778056144714355,False,미검출-읽긴읽음
002021.jpg,2022-04-09,0.762048,154.9896484375,64.3620315386537,466.72133853673927,62.0,14.0,89.56003573022959,0.9538394510746002,0.9999653697013855,7.0,,,True,정답
000058.jpg,2027-03-27,24.470208,143.49331380208332,59.008909722591255,2175.5208487426326,68.0,11.0,29.017236257093817,0.8102610111236572,0.9996799826622009,9.0,29.017236257093817,0.9176368713378906,True,정답
000276.jpg,2026-03-25,12.192768,115.72814453125,52.26233843871969,637.8359457740679,15.0,18.0,36.013886210738214,0.9955477118492126,0.9999251365661621,0.0,,,False,미검출-못읽음
